35,476,378,7,29,20,1,0,268,97,26,32,0,0,1,11,5,9,1,0,aliece
7,405,315,0,27,33,1,0,202,77,28,3,0,0,4,11,7,18,5,0,gilabenmayor
24,414,335,5,32,48,11,2,221,104,38,19,0,1,1,6,8,5,0,1,gulsebirsel
66,787,589,1,70,23,0,1,397,156,47,31,0,2,13,10,25,35,1,0,ilberortayli
25,310,230,0,26,4,2,1,122,76,5,15,0,0,2,8,13,46,2,1,mehmetbarlas
64,612,437,1,67,52,0,5,375,100,29,12,0,0,2,8,11,28,0,0,mehmetyasin
19,278,223,0,20,9,0,2,141,57,20,6,0,3,2,5,4,6,0,0,aliece
5,438,353,0,29,27,7,1,218,78,14,10,0,0,6,13,8,30,0,1,gilabenmayor
25,467,376,0,30,54,15,2,239,97,22,23,0,0,6,8,14,18,4,3,gulsebirsel
47,758,570,0,51,40,0,0,407,135,27,22,0,2,15,10,28,56,3,0,ilberortayli
23,336,271,0,23,20,0,3,161,69,7,14,0,0,8,9,8,32,1,0,mehmetbarlas
104,905,712,5,107,61,0,1,497,194,50,17,0,1,11,15,26,48,0,0,mehmetyasin
19,272,227,1,18,9,0,1,142,54,12,5,0,1,4,9,9,11,0,0,aliece
22,564,397,0,41,20,1,2,333,94,14,10,0,1,5,18,16,23,0,0,gilabenmayor
21,414,349,3,29,49,2,1,224,82,25,16,0,0,1,4,16,9,1,4,gulsebirsel
62,852,668,0,72,37,0,2,445,177,46,23,0,0,4,8,26,45,0,0,ilberortayli
19,326,263,0,21,20,1,1,150,80,11,11,0,0,2,6,13,30,3,1,mehmetbarlas
51,494,392,2,54,37,0,1,263,116,29,21,0,0,3,7,15,19,0,0,mehmetyasin
21,288,234,0,23,10,0,2,163,44,19,5,0,1,5,3,7,9,0,0,aliece
21,455,369,0,34,23,1,4,219,99,15,7,0,1,2,7,26,10,1,0,gilabenmayor
52,458,392,13,40,37,12,1,227,105,14,18,0,0,8,8,10,10,1,11,gulsebirsel
47,770,603,1,59,36,0,1,390,147,38,24,0,2,10,17,22,43,0,0,ilberortayli
19,301,229,0,24,13,1,0,142,62,3,10,0,0,3,7,9,30,12,1,mehmetbarlas
63,558,442,1,63,30,1,2,277,127,28,21,0,0,4,11,19,17,0,0,mehmetyasin
10,97,88,3,8,6,4,4,46,22,6,2,0,0,1,1,2,4,0,1,aliece
5,423,346,0,27,20,0,1,188,76,10,6,0,0,4,9,17,26,1,0,gilabenmayor
43,471,368,11,32,58,11,0,256,93,30,28,0,0,8,6,13,14,1,2,gulsebirsel
56,704,531,0,59,32,1,1,344,136,31,18,0,2,9,20,25,53,0,2,ilberortayli
23,345,250,0,23,16,2,1,152,79,12,27,0,0,2,12,13,26,0,3,mehmetbarlas
55,582,438,1,56,35,0,1,292,124,34,25,0,0,3,23,18,31,0,0,mehmetyasin
21,321,261,3,21,15,0,1,169,54,21,7,0,0,3,7,10,12,0,0,aliece
11,478,378,0,49,17,1,2,124,34,5,5,0,0,5,2,19,13,0,0,gilabenmayor
43,530,392,9,44,46,7,1,307,101,35,20,0,1,6,6,16,4,1,6,gulsebirsel
91,895,656,3,98,42,4,1,418,186,66,47,0,3,14,7,37,51,0,0,ilberortayli
27,373,315,2,32,20,5,2,179,78,16,12,0,0,3,5,14,29,6,3,mehmetbarlas
47,519,425,2,55,51,1,6,267,117,34,19,0,0,2,18,20,12,0,2,mehmetyasin
16,225,177,0,16,8,1,1,113,38,5,7,0,0,4,8,6,10,0,2,aliece
7,397,318,0,28,16,2,1,190,74,13,4,0,0,6,13,16,15,0,0,gilabenmayor
38,436,338,4,40,41,1,1,231,103,12,16,0,0,1,10,16,12,1,0,gulsebirsel
77,1079,853,6,116,100,9,81,488,184,32,23,0,2,6,17,30,73,2,2,ilberortayli
16,269,192,0,17,11,2,0,123,57,5,14,0,2,7,2,7,22,12,2,mehmetbarlas
54,565,444,0,61,85,0,1,330,87,33,12,0,0,6,16,16,23,1,0,mehmetyasin
23,320,250,2,23,6,0,1,154,57,25,10,0,3,3,8,12,14,0,0,aliece
8,477,371,0,31,26,6,2,231,85,14,10,0,0,16,12,13,35,1,2,gilabenmayor
25,436,362,4,35,35,2,1,247,83,19,20,0,0,6,5,11,17,1,4,gulsebirsel
84,1135,882,3,122,121,9,80,547,187,43,32,0,2,12,9,37,61,2,0,ilberortayli
16,310,256,0,21,14,0,1,170,65,8,15,0,0,7,2,15,8,6,0,mehmetbarlas
52,582,465,3,46,63,10,5,331,114,28,29,0,0,4,5,21,19,0,4,mehmetyasin
16,299,238,2,15,12,0,2,157,57,18,8,0,0,4,8,11,9,0,0,aliece
9,481,386,0,37,18,4,0,226,99,21,7,0,0,9,16,12,18,3,0,gilabenmayor
21,669,556,7,68,147,6,80,287,128,30,19,0,0,7,7,18,3,0,0,gulsebirsel
64,943,725,1,74,37,2,4,482,154,33,18,0,0,6,25,25,77,0,2,ilberortayli
34,306,242,0,32,18,7,0,135,73,6,23,0,0,1,4,13,16,1,4,mehmetbarlas
87,879,598,0,91,42,0,1,456,194,39,27,0,1,8,50,36,16,0,0,mehmetyasin
17,273,219,2,16,19,0,2,135,61,19,2,0,1,3,4,6,8,0,0,aliece
10,446,355,0,32,19,0,1,211,84,12,4,0,2,10,11,12,31,2,0,gilabenmayor
34,470,382,14,26,57,8,3,252,104,15,10,0,0,5,20,17,3,1,5,gulsebirsel
77,1176,905,2,121,117,5,85,586,187,44,30,0,3,6,14,36,63,1,0,ilberortayli
21,310,241,0,25,9,0,0,162,76,2,7,0,1,5,6,13,19,4,1,mehmetbarlas
72,617,500,2,72,58,0,1,329,115,35,18,0,0,3,15,11,42,0,0,mehmetyasin
18,271,221,3,16,5,1,4,124,60,18,10,0,1,3,6,7,10,0,0,aliece
12,500,370,0,34,20,4,1,250,67,25,4,0,0,10,12,22,15,1,0,gilabenmayor
5,57,54,3,3,4,0,0,33,10,4,2,0,0,0,2,1,2,0,0,gulsebirsel
